trial,width,offset,ext_offset,glitch_repeat,status,clean_output,output,fault_byte_count,fault_byte_positions_0_indexed
24,-40,-20,64,1,normal,010707050d030301,010707050d030301,0,
25,-40,-20,64,1,normal,010707050d030301,010707050d030301,0,
26,-40,-20,64,1,normal,010707050d030301,010707050d030301,0,
27,-40,-20,64,1,normal,010707050d030301,010707050d030301,0,
28,-40,-20,64,1,normal,010707050d030301,010707050d030301,0,
29,-40,-20,64,1,normal,010707050d030301,010707050d030301,0,
30,-40,-20,64,1,normal,010707050d030301,010707050d030301,0,
31,-40,-20,64,1,normal,010707050d030301,010707050d030301,0,
32,-40,-20,64,1,normal,010707050d030301,010707050d030301,0,
33,-40,-20,64,1,normal,010707050d030301,010707050d030301,0,
34,-40,-20,64,1,normal,010707050d030301,010707050d030301,0,
35,-40,-20,64,1,normal,010707050d030301,010707050d030301,0,
36,-40,-20,64,1,normal,010707050d030301,010707050d030301,0,
37,-40,-20,64,1,normal,010707050d030301,010707050d030301,0,
38,-40,-20,64,1,normal,010707050d030301,010707050d030301,0,
39,-40,-20,64,1,normal,010707050d030301,010707050d030301,0,
40,-40,-20,64,1,normal,010707050d030301,010707050d030301,0,
41,-40,-20,64,1,normal,010707050d030301,010707050d030301,0,
42,-40,-20,64,1,normal,010707050d030301,010707050d030301,0,
43,-40,-20,64,1,normal,010707050d030301,010707050d030301,0,
44,-40,-20,64,1,normal,010707050d030301,010707050d030301,0,
45,-40,-20,64,1,normal,010707050d030301,010707050d030301,0,
46,-40,-20,64,1,normal,010707050d030301,010707050d030301,0,
47,-40,-20,64,1,normal,010707050d030301,010707050d030301,0,
48,-40,-20,64,1,normal,010707050d030301,010707050d030301,0,
49,-40,-20,64,1,normal,010707050d030301,010707050d030301,0,
50,-40,-20,64,1,normal,010707050d030301,010707050d030301,0,
1,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
2,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
3,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
4,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
5,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
6,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
7,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
8,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
9,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
10,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
11,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
12,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
13,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
14,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
15,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
16,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
17,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
18,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
19,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
20,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
21,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
22,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
23,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
24,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
25,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
26,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
27,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
28,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
29,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
30,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
31,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
32,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
33,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
34,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
35,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
36,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
37,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
38,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
39,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
40,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
41,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
42,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
43,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
44,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
45,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
46,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
47,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
48,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
49,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
50,-40,-10,64,1,normal,010707050d030301,010707050d030301,0,
1,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
2,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
3,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
4,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
5,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
6,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
7,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
8,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
9,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
10,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
11,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
12,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
13,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
14,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
15,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
16,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
17,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
18,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
19,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
20,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
21,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
22,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
23,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
24,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
25,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
26,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
27,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
28,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
29,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
30,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
31,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
32,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
33,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
34,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
35,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
36,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
37,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
38,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
39,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
40,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
41,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
42,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
43,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
44,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
45,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
46,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
47,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
48,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
49,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
50,-40,1,64,1,normal,010707050d030301,010707050d030301,0,
1,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
2,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
3,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
4,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
5,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
6,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
7,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
8,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
9,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
10,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
11,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
12,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
13,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
14,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
15,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
16,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
17,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
18,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
19,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
20,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
21,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
22,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
23,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
24,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
25,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
26,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
27,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
28,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
29,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
30,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
31,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
32,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
33,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
34,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
35,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
36,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
37,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
38,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
39,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
40,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
41,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
42,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
43,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
44,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
45,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
46,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
47,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
48,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
49,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
50,-40,14,64,1,normal,010707050d030301,010707050d030301,0,
1,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
2,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
3,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
4,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
5,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
6,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
7,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
8,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
9,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
10,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
11,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
12,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
13,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
14,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
15,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
16,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
17,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
18,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
19,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
20,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
21,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
22,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
23,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
24,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
25,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
26,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
27,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
28,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
29,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
30,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
31,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
32,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
33,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
34,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
35,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
36,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
37,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
38,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
39,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
40,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
41,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
42,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
43,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
44,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
45,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
46,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
47,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
48,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
49,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
50,-40,20,64,1,normal,010707050d030301,010707050d030301,0,
1,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
2,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
3,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
4,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
5,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
6,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
7,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
8,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
9,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
10,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
11,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
12,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
13,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
14,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
15,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
16,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
17,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
18,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
19,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
20,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
21,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
22,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
23,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
24,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
25,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
26,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
27,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
28,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
29,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
30,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
31,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
32,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
33,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
34,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
35,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
36,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
37,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
38,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
39,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
40,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
41,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
42,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
43,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
44,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
45,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
46,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
47,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
48,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
49,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
50,-40,30,64,1,normal,010707050d030301,010707050d030301,0,
1,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
2,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
3,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
4,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
5,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
6,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
7,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
8,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
9,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
10,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
11,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
12,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
13,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
14,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
15,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
16,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
17,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
18,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
19,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
20,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
21,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
22,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
23,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
24,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
25,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
26,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
27,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
28,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
29,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
30,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
31,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
32,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
33,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
34,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
35,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
36,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
37,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
38,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
39,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
40,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
41,-40,40,64,1,normal,010707050d030301,010707050d030301,0,
