trial,width,offset,ext_offset,glitch_repeat,status,clean_output,output,fault_byte_count,fault_byte_positions_0_indexed
45,2,-3.2,63,1,normal,010607050d020301,010607050d020301,0,
46,2,-3.2,63,1,normal,010607050d020301,010607050d020301,0,
47,2,-3.2,63,1,normal,010607050d020301,010607050d020301,0,
48,2,-3.2,63,1,no_response,010607050d020301,,0,
49,2,-3.2,63,1,normal,010607050d020301,010607050d020301,0,
50,2,-3.2,63,1,normal,010607050d020301,010607050d020301,0,
1,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
2,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
3,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
4,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
5,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
6,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
7,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
8,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
9,2,-3,63,1,no_response,010607050d020301,,0,
10,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
11,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
12,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
13,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
14,2,-3,63,1,fault,010607050d020301,010607050d010100,3,5;6;7
15,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
16,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
17,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
18,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
19,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
20,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
21,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
22,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
23,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
24,2,-3,63,1,fault,010607050d020301,0106070509090908,4,4;5;6;7
25,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
26,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
27,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
28,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
29,2,-3,63,1,fault,010607050d020301,010607050d010100,3,5;6;7
30,2,-3,63,1,no_response,010607050d020301,,0,
31,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
32,2,-3,63,1,fault,010607050d020301,010607050d010100,3,5;6;7
33,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
34,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
35,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
36,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
37,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
38,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
39,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
40,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
41,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
42,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
43,2,-3,63,1,fault,010607050d020301,010607050d010100,3,5;6;7
44,2,-3,63,1,no_response,010607050d020301,,0,
45,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
46,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
47,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
48,2,-3,63,1,normal,010607050d020301,010607050d020301,0,
49,2,-3,63,1,fault,010607050d020301,0106070509090908,4,4;5;6;7
50,2,-3,63,1,no_response,010607050d020301,,0,
1,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
2,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
3,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
4,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
5,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
6,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
7,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
8,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
9,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
10,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
11,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
12,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
13,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
14,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
15,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
16,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
17,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
18,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
19,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
20,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
21,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
22,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
23,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
24,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
25,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
26,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
27,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
28,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
29,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
30,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
31,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
32,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
33,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
34,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
35,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
36,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
37,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
38,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
39,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
40,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
41,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
42,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
43,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
44,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
45,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
46,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
47,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
48,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
49,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
50,3,-3.3,63,1,normal,010607050d020301,010607050d020301,0,
1,3,-3.2,63,1,normal,010607050d020301,010607050d020301,0,
2,3,-3.2,63,1,normal,010607050d020301,010607050d020301,0,
3,3,-3.2,63,1,normal,010607050d020301,010607050d020301,0,
4,3,-3.2,63,1,normal,010607050d020301,010607050d020301,0,
5,3,-3.2,63,1,normal,010607050d020301,010607050d020301,0,
6,3,-3.2,63,1,normal,010607050d020301,010607050d020301,0,
7,3,-3.2,63,1,normal,010607050d020301,010607050d020301,0,
8,3,-3.2,63,1,normal,010607050d020301,010607050d020301,0,
9,3,-3.2,63,1,normal,010607050d020301,010607050d020301,0,
10,3,-3.2,63,1,normal,010607050d020301,010607050d020301,0,
11,3,-3.2,63,1,normal,010607050d020301,010607050d020301,0,
12,3,-3.2,63,1,normal,010607050d020301,010607050d020301,0,
13,3,-3.2,63,1,normal,010607050d020301,010607050d020301,0,
14,3,-3.2,63,1,normal,010607050d020301,010607050d020301,0,
15,3,-3.2,63,1,normal,010607050d020301,010607050d020301,0,
16,3,-3.2,63,1,normal,010607050d020301,010607050d020301,0,
17,3,-3.2,63,1,normal,010607050d020301,010607050d020301,0,
