trial,width,offset,ext_offset,glitch_repeat,status,clean_output,output,fault_byte_count,fault_byte_positions_0_indexed
2,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
3,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
4,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
5,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
6,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
7,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
8,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
9,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
10,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
11,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
12,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
13,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
14,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
15,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
16,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
17,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
18,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
19,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
20,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
21,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
22,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
23,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
24,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
25,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
26,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
27,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
28,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
29,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
30,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
31,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
32,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
33,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
34,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
35,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
36,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
37,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
38,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
39,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
40,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
41,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
42,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
43,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
44,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
45,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
46,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
47,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
48,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
49,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
50,1,-3,63,1,normal,010607050d020301,010607050d020301,0,
1,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
2,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
3,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
4,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
5,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
6,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
7,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
8,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
9,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
10,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
11,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
12,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
13,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
14,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
15,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
16,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
17,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
18,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
19,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
20,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
21,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
22,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
23,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
24,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
25,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
26,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
27,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
28,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
29,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
30,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
31,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
32,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
33,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
34,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
35,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
36,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
37,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
38,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
39,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
40,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
41,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
42,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
43,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
44,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
45,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
46,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
47,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
48,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
49,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
50,1,-2,63,1,normal,010607050d020301,010607050d020301,0,
1,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
2,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
3,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
4,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
5,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
6,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
7,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
8,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
9,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
10,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
11,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
12,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
13,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
14,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
15,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
16,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
17,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
18,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
19,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
20,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
21,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
22,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
23,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
24,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
25,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
26,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
27,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
28,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
29,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
30,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
31,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
32,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
33,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
34,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
35,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
36,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
37,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
38,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
39,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
40,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
41,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
42,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
43,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
44,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
45,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
46,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
47,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
48,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
49,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
50,1,-1,63,1,normal,010607050d020301,010607050d020301,0,
1,1,1,63,1,normal,010607050d020301,010607050d020301,0,
2,1,1,63,1,normal,010607050d020301,010607050d020301,0,
3,1,1,63,1,normal,010607050d020301,010607050d020301,0,
4,1,1,63,1,normal,010607050d020301,010607050d020301,0,
5,1,1,63,1,normal,010607050d020301,010607050d020301,0,
6,1,1,63,1,normal,010607050d020301,010607050d020301,0,
7,1,1,63,1,normal,010607050d020301,010607050d020301,0,
8,1,1,63,1,normal,010607050d020301,010607050d020301,0,
9,1,1,63,1,normal,010607050d020301,010607050d020301,0,
10,1,1,63,1,normal,010607050d020301,010607050d020301,0,
11,1,1,63,1,normal,010607050d020301,010607050d020301,0,
12,1,1,63,1,normal,010607050d020301,010607050d020301,0,
13,1,1,63,1,normal,010607050d020301,010607050d020301,0,
14,1,1,63,1,normal,010607050d020301,010607050d020301,0,
15,1,1,63,1,normal,010607050d020301,010607050d020301,0,
16,1,1,63,1,normal,010607050d020301,010607050d020301,0,
17,1,1,63,1,normal,010607050d020301,010607050d020301,0,
18,1,1,63,1,normal,010607050d020301,010607050d020301,0,
19,1,1,63,1,normal,010607050d020301,010607050d020301,0,
20,1,1,63,1,normal,010607050d020301,010607050d020301,0,
21,1,1,63,1,normal,010607050d020301,010607050d020301,0,
22,1,1,63,1,normal,010607050d020301,010607050d020301,0,
23,1,1,63,1,normal,010607050d020301,010607050d020301,0,
24,1,1,63,1,normal,010607050d020301,010607050d020301,0,
25,1,1,63,1,normal,010607050d020301,010607050d020301,0,
26,1,1,63,1,normal,010607050d020301,010607050d020301,0,
27,1,1,63,1,normal,010607050d020301,010607050d020301,0,
28,1,1,63,1,normal,010607050d020301,010607050d020301,0,
29,1,1,63,1,normal,010607050d020301,010607050d020301,0,
30,1,1,63,1,normal,010607050d020301,010607050d020301,0,
31,1,1,63,1,normal,010607050d020301,010607050d020301,0,
32,1,1,63,1,normal,010607050d020301,010607050d020301,0,
33,1,1,63,1,normal,010607050d020301,010607050d020301,0,
34,1,1,63,1,normal,010607050d020301,010607050d020301,0,
35,1,1,63,1,normal,010607050d020301,010607050d020301,0,
36,1,1,63,1,normal,010607050d020301,010607050d020301,0,
37,1,1,63,1,normal,010607050d020301,010607050d020301,0,
38,1,1,63,1,normal,010607050d020301,010607050d020301,0,
39,1,1,63,1,normal,010607050d020301,010607050d020301,0,
40,1,1,63,1,normal,010607050d020301,010607050d020301,0,
41,1,1,63,1,normal,010607050d020301,010607050d020301,0,
42,1,1,63,1,normal,010607050d020301,010607050d020301,0,
43,1,1,63,1,normal,010607050d020301,010607050d020301,0,
44,1,1,63,1,normal,010607050d020301,010607050d020301,0,
45,1,1,63,1,normal,010607050d020301,010607050d020301,0,
46,1,1,63,1,normal,010607050d020301,010607050d020301,0,
47,1,1,63,1,normal,010607050d020301,010607050d020301,0,
48,1,1,63,1,normal,010607050d020301,010607050d020301,0,
49,1,1,63,1,normal,010607050d020301,010607050d020301,0,
50,1,1,63,1,normal,010607050d020301,010607050d020301,0,
1,1,2,63,1,normal,010607050d020301,010607050d020301,0,
2,1,2,63,1,normal,010607050d020301,010607050d020301,0,
3,1,2,63,1,normal,010607050d020301,010607050d020301,0,
4,1,2,63,1,normal,010607050d020301,010607050d020301,0,
5,1,2,63,1,normal,010607050d020301,010607050d020301,0,
6,1,2,63,1,normal,010607050d020301,010607050d020301,0,
7,1,2,63,1,normal,010607050d020301,010607050d020301,0,
8,1,2,63,1,normal,010607050d020301,010607050d020301,0,
9,1,2,63,1,normal,010607050d020301,010607050d020301,0,
10,1,2,63,1,normal,010607050d020301,010607050d020301,0,
11,1,2,63,1,normal,010607050d020301,010607050d020301,0,
12,1,2,63,1,normal,010607050d020301,010607050d020301,0,
13,1,2,63,1,normal,010607050d020301,010607050d020301,0,
14,1,2,63,1,normal,010607050d020301,010607050d020301,0,
15,1,2,63,1,normal,010607050d020301,010607050d020301,0,
16,1,2,63,1,normal,010607050d020301,010607050d020301,0,
17,1,2,63,1,normal,010607050d020301,010607050d020301,0,
18,1,2,63,1,normal,010607050d020301,010607050d020301,0,
19,1,2,63,1,normal,010607050d020301,010607050d020301,0,
20,1,2,63,1,normal,010607050d020301,010607050d020301,0,
21,1,2,63,1,normal,010607050d020301,010607050d020301,0,
22,1,2,63,1,normal,010607050d020301,010607050d020301,0,
23,1,2,63,1,normal,010607050d020301,010607050d020301,0,
24,1,2,63,1,normal,010607050d020301,010607050d020301,0,
25,1,2,63,1,normal,010607050d020301,010607050d020301,0,
26,1,2,63,1,normal,010607050d020301,010607050d020301,0,
27,1,2,63,1,normal,010607050d020301,010607050d020301,0,
28,1,2,63,1,normal,010607050d020301,010607050d020301,0,
29,1,2,63,1,normal,010607050d020301,010607050d020301,0,
30,1,2,63,1,normal,010607050d020301,010607050d020301,0,
31,1,2,63,1,normal,010607050d020301,010607050d020301,0,
32,1,2,63,1,normal,010607050d020301,010607050d020301,0,
33,1,2,63,1,normal,010607050d020301,010607050d020301,0,
34,1,2,63,1,normal,010607050d020301,010607050d020301,0,
35,1,2,63,1,normal,010607050d020301,010607050d020301,0,
36,1,2,63,1,normal,010607050d020301,010607050d020301,0,
37,1,2,63,1,normal,010607050d020301,010607050d020301,0,
38,1,2,63,1,normal,010607050d020301,010607050d020301,0,
39,1,2,63,1,normal,010607050d020301,010607050d020301,0,
40,1,2,63,1,normal,010607050d020301,010607050d020301,0,
41,1,2,63,1,normal,010607050d020301,010607050d020301,0,
42,1,2,63,1,normal,010607050d020301,010607050d020301,0,
43,1,2,63,1,normal,010607050d020301,010607050d020301,0,
44,1,2,63,1,normal,010607050d020301,010607050d020301,0,
45,1,2,63,1,normal,010607050d020301,010607050d020301,0,
46,1,2,63,1,normal,010607050d020301,010607050d020301,0,
47,1,2,63,1,normal,010607050d020301,010607050d020301,0,
48,1,2,63,1,normal,010607050d020301,010607050d020301,0,
49,1,2,63,1,normal,010607050d020301,010607050d020301,0,
50,1,2,63,1,normal,010607050d020301,010607050d020301,0,
1,1,3,63,1,normal,010607050d020301,010607050d020301,0,
2,1,3,63,1,normal,010607050d020301,010607050d020301,0,
3,1,3,63,1,normal,010607050d020301,010607050d020301,0,
4,1,3,63,1,normal,010607050d020301,010607050d020301,0,
5,1,3,63,1,normal,010607050d020301,010607050d020301,0,
6,1,3,63,1,normal,010607050d020301,010607050d020301,0,
7,1,3,63,1,normal,010607050d020301,010607050d020301,0,
8,1,3,63,1,normal,010607050d020301,010607050d020301,0,
9,1,3,63,1,normal,010607050d020301,010607050d020301,0,
10,1,3,63,1,normal,010607050d020301,010607050d020301,0,
11,1,3,63,1,normal,010607050d020301,010607050d020301,0,
12,1,3,63,1,normal,010607050d020301,010607050d020301,0,
13,1,3,63,1,normal,010607050d020301,010607050d020301,0,
14,1,3,63,1,normal,010607050d020301,010607050d020301,0,
15,1,3,63,1,normal,010607050d020301,010607050d020301,0,
16,1,3,63,1,normal,010607050d020301,010607050d020301,0,
17,1,3,63,1,normal,010607050d020301,010607050d020301,0,
18,1,3,63,1,normal,010607050d020301,010607050d020301,0,
19,1,3,63,1,normal,010607050d020301,010607050d020301,0,
20,1,3,63,1,normal,010607050d020301,010607050d020301,0,
21,1,3,63,1,normal,010607050d020301,010607050d020301,0,
22,1,3,63,1,normal,010607050d020301,010607050d020301,0,
23,1,3,63,1,normal,010607050d020301,010607050d020301,0,
24,1,3,63,1,normal,010607050d020301,010607050d020301,0,
25,1,3,63,1,normal,010607050d020301,010607050d020301,0,
26,1,3,63,1,normal,010607050d020301,010607050d020301,0,
27,1,3,63,1,normal,010607050d020301,010607050d020301,0,
28,1,3,63,1,normal,010607050d020301,010607050d020301,0,
29,1,3,63,1,normal,010607050d020301,010607050d020301,0,
30,1,3,63,1,normal,010607050d020301,010607050d020301,0,
31,1,3,63,1,normal,010607050d020301,010607050d020301,0,
32,1,3,63,1,normal,010607050d020301,010607050d020301,0,
33,1,3,63,1,normal,010607050d020301,010607050d020301,0,
34,1,3,63,1,normal,010607050d020301,010607050d020301,0,
35,1,3,63,1,normal,010607050d020301,010607050d020301,0,
36,1,3,63,1,normal,010607050d020301,010607050d020301,0,
37,1,3,63,1,normal,010607050d020301,010607050d020301,0,
38,1,3,63,1,normal,010607050d020301,010607050d020301,0,
39,1,3,63,1,normal,010607050d020301,010607050d020301,0,
40,1,3,63,1,normal,010607050d020301,010607050d020301,0,
41,1,3,63,1,normal,010607050d020301,010607050d020301,0,
42,1,3,63,1,normal,010607050d020301,010607050d020301,0,
43,1,3,63,1,normal,010607050d020301,010607050d020301,0,
44,1,3,63,1,normal,010607050d020301,010607050d020301,0,
45,1,3,63,1,normal,010607050d020301,010607050d020301,0,
46,1,3,63,1,normal,010607050d020301,010607050d020301,0,
47,1,3,63,1,normal,010607050d020301,010607050d020301,0,
48,1,3,63,1,normal,010607050d020301,010607050d020301,0,
49,1,3,63,1,normal,010607050d020301,010607050d020301,0,
50,1,3,63,1,normal,010607050d020301,010607050d020301,0,
1,1,4,63,1,normal,010607050d020301,010607050d020301,0,
2,1,4,63,1,normal,010607050d020301,010607050d020301,0,
3,1,4,63,1,normal,010607050d020301,010607050d020301,0,
4,1,4,63,1,normal,010607050d020301,010607050d020301,0,
5,1,4,63,1,normal,010607050d020301,010607050d020301,0,
6,1,4,63,1,normal,010607050d020301,010607050d020301,0,
7,1,4,63,1,normal,010607050d020301,010607050d020301,0,
8,1,4,63,1,normal,010607050d020301,010607050d020301,0,
9,1,4,63,1,normal,010607050d020301,010607050d020301,0,
10,1,4,63,1,normal,010607050d020301,010607050d020301,0,
11,1,4,63,1,normal,010607050d020301,010607050d020301,0,
12,1,4,63,1,normal,010607050d020301,010607050d020301,0,
13,1,4,63,1,normal,010607050d020301,010607050d020301,0,
14,1,4,63,1,normal,010607050d020301,010607050d020301,0,
15,1,4,63,1,normal,010607050d020301,010607050d020301,0,
16,1,4,63,1,normal,010607050d020301,010607050d020301,0,
17,1,4,63,1,normal,010607050d020301,010607050d020301,0,
18,1,4,63,1,normal,010607050d020301,010607050d020301,0,
19,1,4,63,1,normal,010607050d020301,010607050d020301,0,
20,1,4,63,1,normal,010607050d020301,010607050d020301,0,
21,1,4,63,1,normal,010607050d020301,010607050d020301,0,
22,1,4,63,1,normal,010607050d020301,010607050d020301,0,
23,1,4,63,1,normal,010607050d020301,010607050d020301,0,
24,1,4,63,1,normal,010607050d020301,010607050d020301,0,
25,1,4,63,1,normal,010607050d020301,010607050d020301,0,
26,1,4,63,1,normal,010607050d020301,010607050d020301,0,
27,1,4,63,1,normal,010607050d020301,010607050d020301,0,
28,1,4,63,1,normal,010607050d020301,010607050d020301,0,
29,1,4,63,1,normal,010607050d020301,010607050d020301,0,
30,1,4,63,1,normal,010607050d020301,010607050d020301,0,
31,1,4,63,1,normal,010607050d020301,010607050d020301,0,
32,1,4,63,1,normal,010607050d020301,010607050d020301,0,
33,1,4,63,1,normal,010607050d020301,010607050d020301,0,
34,1,4,63,1,normal,010607050d020301,010607050d020301,0,
35,1,4,63,1,normal,010607050d020301,010607050d020301,0,
36,1,4,63,1,normal,010607050d020301,010607050d020301,0,
37,1,4,63,1,normal,010607050d020301,010607050d020301,0,
38,1,4,63,1,normal,010607050d020301,010607050d020301,0,
39,1,4,63,1,normal,010607050d020301,010607050d020301,0,
40,1,4,63,1,normal,010607050d020301,010607050d020301,0,
41,1,4,63,1,normal,010607050d020301,010607050d020301,0,
42,1,4,63,1,normal,010607050d020301,010607050d020301,0,
43,1,4,63,1,normal,010607050d020301,010607050d020301,0,
44,1,4,63,1,normal,010607050d020301,010607050d020301,0,
45,1,4,63,1,normal,010607050d020301,010607050d020301,0,
46,1,4,63,1,normal,010607050d020301,010607050d020301,0,
47,1,4,63,1,normal,010607050d020301,010607050d020301,0,
48,1,4,63,1,normal,010607050d020301,010607050d020301,0,
49,1,4,63,1,normal,010607050d020301,010607050d020301,0,
50,1,4,63,1,normal,010607050d020301,010607050d020301,0,
1,1,5,63,1,normal,010607050d020301,010607050d020301,0,
2,1,5,63,1,normal,010607050d020301,010607050d020301,0,
3,1,5,63,1,normal,010607050d020301,010607050d020301,0,
4,1,5,63,1,normal,010607050d020301,010607050d020301,0,
