trial,width,offset,ext_offset,glitch_repeat,status,clean_output,output,fault_byte_count,fault_byte_positions_0_indexed
1,-48,6,35,1,normal,010716050d031201,010716050d031201,0,
2,-48,6,35,1,normal,010716050d031201,010716050d031201,0,
3,-48,6,35,1,normal,010716050d031201,010716050d031201,0,
4,-48,6,35,1,normal,010716050d031201,010716050d031201,0,
5,-48,6,35,1,normal,010716050d031201,010716050d031201,0,
1,-48,8,35,1,normal,010716050d031201,010716050d031201,0,
2,-48,8,35,1,normal,010716050d031201,010716050d031201,0,
3,-48,8,35,1,normal,010716050d031201,010716050d031201,0,
4,-48,8,35,1,normal,010716050d031201,010716050d031201,0,
5,-48,8,35,1,normal,010716050d031201,010716050d031201,0,
1,-48,10,35,1,normal,010716050d031201,010716050d031201,0,
2,-48,10,35,1,normal,010716050d031201,010716050d031201,0,
3,-48,10,35,1,normal,010716050d031201,010716050d031201,0,
4,-48,10,35,1,normal,010716050d031201,010716050d031201,0,
5,-48,10,35,1,normal,010716050d031201,010716050d031201,0,
1,-48,12,35,1,normal,010716050d031201,010716050d031201,0,
2,-48,12,35,1,normal,010716050d031201,010716050d031201,0,
3,-48,12,35,1,normal,010716050d031201,010716050d031201,0,
4,-48,12,35,1,normal,010716050d031201,010716050d031201,0,
5,-48,12,35,1,normal,010716050d031201,010716050d031201,0,
1,-48,14,35,1,normal,010716050d031201,010716050d031201,0,
2,-48,14,35,1,normal,010716050d031201,010716050d031201,0,
3,-48,14,35,1,normal,010716050d031201,010716050d031201,0,
4,-48,14,35,1,normal,010716050d031201,010716050d031201,0,
5,-48,14,35,1,normal,010716050d031201,010716050d031201,0,
1,-48,16,35,1,normal,010716050d031201,010716050d031201,0,
2,-48,16,35,1,normal,010716050d031201,010716050d031201,0,
3,-48,16,35,1,normal,010716050d031201,010716050d031201,0,
4,-48,16,35,1,normal,010716050d031201,010716050d031201,0,
5,-48,16,35,1,normal,010716050d031201,010716050d031201,0,
1,-48,18,35,1,normal,010716050d031201,010716050d031201,0,
2,-48,18,35,1,normal,010716050d031201,010716050d031201,0,
3,-48,18,35,1,normal,010716050d031201,010716050d031201,0,
4,-48,18,35,1,normal,010716050d031201,010716050d031201,0,
5,-48,18,35,1,normal,010716050d031201,010716050d031201,0,
1,-48,20,35,1,normal,010716050d031201,010716050d031201,0,
2,-48,20,35,1,normal,010716050d031201,010716050d031201,0,
3,-48,20,35,1,normal,010716050d031201,010716050d031201,0,
4,-48,20,35,1,normal,010716050d031201,010716050d031201,0,
5,-48,20,35,1,normal,010716050d031201,010716050d031201,0,
1,-48,22,35,1,normal,010716050d031201,010716050d031201,0,
2,-48,22,35,1,normal,010716050d031201,010716050d031201,0,
3,-48,22,35,1,normal,010716050d031201,010716050d031201,0,
4,-48,22,35,1,normal,010716050d031201,010716050d031201,0,
5,-48,22,35,1,normal,010716050d031201,010716050d031201,0,
1,-48,24,35,1,normal,010716050d031201,010716050d031201,0,
2,-48,24,35,1,normal,010716050d031201,010716050d031201,0,
3,-48,24,35,1,normal,010716050d031201,010716050d031201,0,
4,-48,24,35,1,normal,010716050d031201,010716050d031201,0,
5,-48,24,35,1,normal,010716050d031201,010716050d031201,0,
1,-48,26,35,1,normal,010716050d031201,010716050d031201,0,
2,-48,26,35,1,normal,010716050d031201,010716050d031201,0,
3,-48,26,35,1,normal,010716050d031201,010716050d031201,0,
4,-48,26,35,1,normal,010716050d031201,010716050d031201,0,
5,-48,26,35,1,normal,010716050d031201,010716050d031201,0,
1,-48,28,35,1,normal,010716050d031201,010716050d031201,0,
2,-48,28,35,1,normal,010716050d031201,010716050d031201,0,
3,-48,28,35,1,normal,010716050d031201,010716050d031201,0,
4,-48,28,35,1,normal,010716050d031201,010716050d031201,0,
5,-48,28,35,1,normal,010716050d031201,010716050d031201,0,
1,-48,30,35,1,normal,010716050d031201,010716050d031201,0,
2,-48,30,35,1,normal,010716050d031201,010716050d031201,0,
3,-48,30,35,1,normal,010716050d031201,010716050d031201,0,
4,-48,30,35,1,normal,010716050d031201,010716050d031201,0,
5,-48,30,35,1,normal,010716050d031201,010716050d031201,0,
1,-48,32,35,1,normal,010716050d031201,010716050d031201,0,
2,-48,32,35,1,normal,010716050d031201,010716050d031201,0,
3,-48,32,35,1,normal,010716050d031201,010716050d031201,0,
4,-48,32,35,1,normal,010716050d031201,010716050d031201,0,
5,-48,32,35,1,normal,010716050d031201,010716050d031201,0,
1,-48,34,35,1,normal,010716050d031201,010716050d031201,0,
2,-48,34,35,1,normal,010716050d031201,010716050d031201,0,
3,-48,34,35,1,normal,010716050d031201,010716050d031201,0,
4,-48,34,35,1,normal,010716050d031201,010716050d031201,0,
5,-48,34,35,1,normal,010716050d031201,010716050d031201,0,
1,-48,36,35,1,normal,010716050d031201,010716050d031201,0,
2,-48,36,35,1,normal,010716050d031201,010716050d031201,0,
3,-48,36,35,1,normal,010716050d031201,010716050d031201,0,
4,-48,36,35,1,normal,010716050d031201,010716050d031201,0,
5,-48,36,35,1,normal,010716050d031201,010716050d031201,0,
1,-48,38,35,1,normal,010716050d031201,010716050d031201,0,
2,-48,38,35,1,normal,010716050d031201,010716050d031201,0,
3,-48,38,35,1,normal,010716050d031201,010716050d031201,0,
4,-48,38,35,1,normal,010716050d031201,010716050d031201,0,
5,-48,38,35,1,normal,010716050d031201,010716050d031201,0,
1,-48,40,35,1,normal,010716050d031201,010716050d031201,0,
2,-48,40,35,1,normal,010716050d031201,010716050d031201,0,
3,-48,40,35,1,normal,010716050d031201,010716050d031201,0,
4,-48,40,35,1,normal,010716050d031201,010716050d031201,0,
5,-48,40,35,1,normal,010716050d031201,010716050d031201,0,
1,-48,42,35,1,normal,010716050d031201,010716050d031201,0,
2,-48,42,35,1,normal,010716050d031201,010716050d031201,0,
3,-48,42,35,1,normal,010716050d031201,010716050d031201,0,
4,-48,42,35,1,normal,010716050d031201,010716050d031201,0,
5,-48,42,35,1,normal,010716050d031201,010716050d031201,0,
1,-48,44,35,1,normal,010716050d031201,010716050d031201,0,
2,-48,44,35,1,normal,010716050d031201,010716050d031201,0,
3,-48,44,35,1,normal,010716050d031201,010716050d031201,0,
4,-48,44,35,1,normal,010716050d031201,010716050d031201,0,
5,-48,44,35,1,normal,010716050d031201,010716050d031201,0,
1,-48,46,35,1,normal,010716050d031201,010716050d031201,0,
2,-48,46,35,1,normal,010716050d031201,010716050d031201,0,
3,-48,46,35,1,normal,010716050d031201,010716050d031201,0,
4,-48,46,35,1,normal,010716050d031201,010716050d031201,0,
5,-48,46,35,1,normal,010716050d031201,010716050d031201,0,
1,-46,-48,35,1,normal,010716050d031201,010716050d031201,0,
2,-46,-48,35,1,normal,010716050d031201,010716050d031201,0,
3,-46,-48,35,1,normal,010716050d031201,010716050d031201,0,
4,-46,-48,35,1,normal,010716050d031201,010716050d031201,0,
5,-46,-48,35,1,normal,010716050d031201,010716050d031201,0,
1,-46,-46,35,1,normal,010716050d031201,010716050d031201,0,
2,-46,-46,35,1,normal,010716050d031201,010716050d031201,0,
3,-46,-46,35,1,normal,010716050d031201,010716050d031201,0,
4,-46,-46,35,1,normal,010716050d031201,010716050d031201,0,
5,-46,-46,35,1,normal,010716050d031201,010716050d031201,0,
1,-46,-44,35,1,normal,010716050d031201,010716050d031201,0,
2,-46,-44,35,1,normal,010716050d031201,010716050d031201,0,
3,-46,-44,35,1,normal,010716050d031201,010716050d031201,0,
